symbol,name,exchange,quarter_end_date,sector,mkt_cap,industry,state,eps,previous_eps,eps_change,eps_binary,eps_change_binary,total_revenue,profit_margin,ebitda,operating_margin,current_ratio,debt_ratio,debt_equity,interest_cov,gross_margin,roa,roe,federal_funds_rate,fed_rate_change
CTRA,Coterra Energy Inc,NYSE,2022-09-30,ENERGY & TRANSPORTATION,21493610000,CRUDE PETROLEUM & NATURAL GAS,TX,1.42,1.35,-0.06999999999999984,1,0,2520000000,47.46032,77.77778,125.91973,166.078,10.992,17.632,5193.1,191.89,5.89,9.448,3.08,1.5
CTRE,Caretrust Inc,NYSE,2022-09-30,REAL ESTATE & CONSTRUCTION,1962891000,REAL ESTATE INVESTMENT TRUSTS,CA,0.01,0.21,0.19999999999999998,1,1,50293000,1.40974,-1.45746,-1832.01693,18.218,47.049,95.151,-155.5,2362.2,0.043,0.087,3.08,1.5
CTS,CTS Corporation,NYSE,2022-09-30,MANUFACTURING,1370198000,PRINTED CIRCUIT BOARDS,IN,0.62,0.62,0,1,1,151911000,7.76639,13.75937,191.93084,267.672,11.635,17.423,6621.1,452.161,1.606,2.405,3.08,1.5
CTSH,Cognizant Technology Solutions Corp Class A,"NASDAQ",2022-09-30,TECHNOLOGY,32063531000,SERVICES-COMPUTER PROGRAMMING SERVICES,NJ,1.17,1.14,-0.030000000000000027,1,0,4857000000,12.95038,19.7447,126.86804,227.025,0,0,13300,126.868,3.626,5.26,3.08,1.5
CTSO,Cytosorbents Crp,"NASDAQ",2022-09-30,LIFE SCIENCES,61963000,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,NJ,-0.28,-0.25,0.030000000000000027,0,1,4881038,-249.96398,-244.27677,73.90754,320.011,21.497,34.199,-13975.6,-29.649,-19.594,-31.171,3.08,1.5
CUBI,Customers Bancorp Inc,NYSE,2022-09-30,FINANCE,1027161000,STATE COMMERCIAL BANKS,PA,1.85,1.68,-0.17000000000000015,1,0,170019000,37.59109,93.77481,101.07179,144.48,2.685,39.431,84,146.797,0.314,4.608,3.08,1.5
CUE,Cue Biopharma,"NASDAQ",2022-09-30,LIFE SCIENCES,139773000,PHARMACEUTICAL PREPARATIONS,MA,-0.31,-0.37,-0.06,0,0,68000,-16110.29412,-15926.47059,100.69375,603.6,11.844,17.802,-8896,32.716,-14.358,-21.58,3.08,1.5
CUEN,Cuentas Inc,"NASDAQ",2022-09-30,TRADE & SERVICES,4636700,WHOLESALE-GROCERIES & RELATED PRODUCTS,FL,-0.14,-0.21,-0.06999999999999998,0,0,1143000,-199.03762,-158.61767,99.6044,89.301,2.632,4.238,-45320,-5.099,-30.702,-49.446,3.08,1.5
CULL,Cullman Bancorp Inc.,"NASDAQ",2022-09-30,FINANCE,83390000,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",AL,0.13,0.19,0.06,1,1,4244000,21.81904,38.59566,101.83585,10.025,2.463,10.15,335.6,125.702,0.228,0.94,3.08,1.5
CURI,Curiositystream Inc.,"NASDAQ",2022-09-30,TRADE & SERVICES,70760000,SERVICES-MOTION PICTURE & VIDEO TAPE PRODUCTION,MD,-0.09,-0.3,-0.21,0,0,23569000,-19.10136,108.40511,97.29009,219.415,12.41,16.617,-1331.3,-204.043,-2.577,-3.45,3.08,1.5
CUTR,Cutera Inc,"NASDAQ",2022-09-30,LIFE SCIENCES,1006275000,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,CA,-0.24,-0.24,0,0,1,61052000,-19.87486,-15.40162,77.74023,372.806,68.056,1880.644,-537.2,-282.248,-2.834,-78.314,3.08,1.5
CUZ,Cousins Properties Incorporated,NYSE,2022-09-30,REAL ESTATE & CONSTRUCTION,3952428000,REAL ESTATE INVESTMENT TRUSTS,GA,0.53,0.23,-0.30000000000000004,1,0,195170000,41.31731,69.27294,160.46826,1.463,30.629,49.425,704,141.399,1.076,1.736,3.08,1.5
CVBF,CVB Financial Corporation,"NASDAQ",2022-09-30,FINANCE,4002703000,STATE COMMERCIAL BANKS,CA,0.46,0.42,-0.040000000000000036,1,0,142928000,45.22487,65.48542,118.35579,68.087,2.862,24.9,4135.4,139.082,0.395,3.44,3.08,1.5
CVCO,Cavco Industries Inc,"NASDAQ",2022-09-30,MANUFACTURING,2138242000,MOBILE HOMES,AZ,8.25,6.63,-1.62,1,0,577392000,12.83634,16.18727,122.38248,267.861,0.972,1.323,38929.2,212.638,5.861,7.979,3.08,1.5
CVCY,Central Valley Community Bancorp,"NASDAQ",2022-09-30,FINANCE,242500000,STATE COMMERCIAL BANKS,CA,0.55,0.56,0.010000000000000009,1,1,21144000,30.19296,44.04559,94.50188,192.488,3.898,59.543,728.6,138.565,0.263,4.02,3.08,1.5
CVGI,Commercial Vehicle Group Inc,"NASDAQ",2022-09-30,MANUFACTURING,244298000,MOTOR VEHICLE PARTS & ACCESSORIES,OH,0.15,0.13,-0.01999999999999999,1,0,251412000,1.41242,3.38647,268.60039,213.309,35.35,135.778,339.1,755.9,0.681,2.616,3.08,1.5
CVGW,Calavo Growers Inc,"NASDAQ",2022-07-31,LIFE SCIENCES,617063000,AGRICULTURAL SERVICES,CA,0.16,0.33,0.17,1,1,341160000,0.38105,2.00375,119.38462,125.319,5.946,11.395,320,1424.154,0.302,0.579,1.58,1.25
CVI,CVR Energy Inc,NYSE,2022-09-30,ENERGY & TRANSPORTATION,3472341000,PETROLEUM REFINING,TX,1.9,2.45,0.5500000000000003,1,1,2699000000,3.44572,3.77918,110.75269,108.295,38.207,286.964,10300,150.538,2.211,16.607,3.08,1.5
CVLG,Covenant Logistics Group Inc,"NASDAQ",2022-09-30,ENERGY & TRANSPORTATION,505362000,TRUCKING (NO LOCAL),TN,1.52,1.63,0.10999999999999988,1,1,349533000,14.44384,23.29766,116.98095000000001,132.661,17.834,35.504,5750.6,293.499,6.672,13.282,3.08,1.5
CVLY,Codorus Valley Bancorp Inc,"NASDAQ",2022-09-30,FINANCE,225584000,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",PA,0.75,0.2,-0.55,1,0,26298000,27.20359,43.88547,114.14593,1687.865,2.46,33,351.7,153.425,0.317,4.25,3.08,1.5
CVNA,Carvana Co,NYSE,2022-09-30,TRADE & SERVICES,1433232000,RETAIL-AUTO DEALERS & GASOLINE STATIONS,AZ,-2.67,-2.35,0.31999999999999984,0,1,3233000000,-8.75348,-3.1859,114.48763,237.966,7.307,256.569,-211.8,-126.855,-2.941,-103.285,3.08,1.5
CVS,CVS Health Corp,NYSE,2022-09-30,TRADE & SERVICES,134787047000,RETAIL-DRUG STORES AND PROPRIETARY STORES,RI,2.09,2.4,0.31000000000000005,1,1,81159000000,-4.20902,-4.22997,115.07611,94.382,0.088,0.289,-694.5,-815.281,-1.477,-4.833,3.08,1.5
CVT,Cvent Holding Corp,"NASDAQ",2022-09-30,TECHNOLOGY,2670405000,SERVICES-PREPACKAGED SOFTWARE,VA,0.06,0.03,-0.03,1,0,161321000,-11.30231,9.60879,85.81144,58.052,7.35,10.182,-842.5,-539.187,-0.827,-1.145,3.08,1.5
CVU,CPI Aerostructures Inc,NYSE,2022-09-30,MANUFACTURING,44456400,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC",NY,0.15,-0.04,-0.19,1,0,20196913,9.20315,13.6428,138.99369,144.023,4.928,21844.243,358.3,286.634,3.402,15081.152,3.08,1.5
CVX,Chevron Corp,NYSE,2022-09-30,ENERGY & TRANSPORTATION,350046847000,PETROLEUM REFINING,CA,5.56,5.82,0.2600000000000007,1,1,66644000000,16.85223,28.73777,177.48197,139.639,7.169,11.735,15572.7,243.237,4.324,7.078,3.08,1.5
CW,Curtiss-Wright Corporation,NYSE,2022-09-30,TECHNOLOGY,6908794000,MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT,NC,2.07,1.83,-0.23999999999999977,1,0,630542000,11.69914,22.39407,145.83966,168.341,30.946,71.313,768.6,314.783,1.699,3.915,3.08,1.5
CWBC,Community West Bancshares,"NASDAQ",2022-09-30,FINANCE,131221000,STATE COMMERCIAL BANKS,CA,0.39,0.3,-0.09000000000000002,1,0,13153000,26.44264,44.02798,87.63657,8.4,10.108,100.163,417,150.805,0.32,3.167,3.08,1.5
CWEN,Clearway Energy Inc Class C,NYSE,2022-09-30,ENERGY & TRANSPORTATION,6844049000,ELECTRIC SERVICES,NJ,0.28,5.39,5.109999999999999,1,1,340000000,9.41176,56.47059,328.125,184.158,55.668,170.36,214.3,756.25,0.254,0.777,3.08,1.5
CWH,Camping World Holdings Inc,NYSE,2022-09-30,TRADE & SERVICES,2317370000,RETAIL-AUTO DEALERS & GASOLINE STATIONS,IL,1.07,2.16,1.09,1,1,1854673000,2.21743,4.4844,378.18412,141.581,50.622,1099.316,10793.3,1441.13,0.912,19.796,3.08,1.5
CWST,Casella Waste Systems Inc,"NASDAQ",2022-09-30,ENERGY & TRANSPORTATION,4477064000,REFUSE SYSTEMS,VT,0.45,0.36,-0.09000000000000002,1,0,295268000,7.67845,14.31581,160.05646,117.595,-0.713,-2.052,587.5,289.322,1.62,4.66,3.08,1.5
CWT,California Water Service Group,NYSE,2022-09-30,ENERGY & TRANSPORTATION,3525183000,WATER SUPPLY,CA,1.03,0.36,-0.67,1,0,255560000,21.86258,40.29973,116.24069,105.152,27.841,83.217,604.3,397.752,1.468,4.387,3.08,1.5
CXDO,Crexendo Inc,"NASDAQ",2022-09-30,TECHNOLOGY,47560500,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),AZ,0.03,0.02,-0.009999999999999998,1,0,9108000,-7.64163,-6.97189,78.16092,146.346,2.381,2.745,-2863.2,-1111.063,-0.912,-1.051,3.08,1.5
CXW,CoreCivic Inc,NYSE,2022-09-30,REAL ESTATE & CONSTRUCTION,1469457000,REAL ESTATE INVESTMENT TRUSTS,TN,0.58,0.09,-0.49,1,0,464211000,14.71701,31.29697,0.27079,111.989,39.961,93.22,0.9,583.408,2.089,4.872,3.08,1.5
CYAN,Cyanotech Corporation,"NASDAQ",2022-09-30,LIFE SCIENCES,8028100,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS,HI,-0.1509,-0.08,0.0709,0,1,5076000,-18.51852,-6.12687,89.04255,325.867,15.115,25.09,-812.6,-190.426,-3.097,-5.141,3.08,1.5
CYH,Community Health Systems Inc,NYSE,2022-09-30,LIFE SCIENCES,464761000,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC",TN,-0.52,-2.52,-2,0,0,3025000000,-1.38843,5.58678,-485.71429,137.18,-2.97,24.804,5100,-2183.333,-0.282,2.352,3.08,1.5
CYRX,Cryoport Inc,"NASDAQ",2022-09-30,LIFE SCIENCES,979506000,PHARMACEUTICAL PREPARATIONS,TN,-0.15,-0.23,-0.08000000000000002,0,0,60464000,-8.79201,-0.41347,146.7833,1495.593,38.369,71.377,-485,-496.934,-0.514,-0.957,3.08,1.5
CYTH,Cyclo Therapeutics Inc,"NASDAQ",2022-09-30,LIFE SCIENCES,16454800,INDUSTRIAL ORGANIC CHEMICALS,FL,-0.5,-0.41,0.09000000000000002,0,1,452167,-939.25474,-938.45216,100.03532,292.926,0.059,0.089,-424850000,31.903,-50.038,-75.671,3.08,1.5
CYTK,Cytokinetics Inc,"NASDAQ",2022-09-30,LIFE SCIENCES,3831609000,PHARMACEUTICAL PREPARATIONS,CA,-1.52,-0.23,1.29,0,1,2515000,-5658.4493,-4975.54672,76.20055,1155.975,68.682,794613.978,-1593.8,36.899,-13.226,-153021.505,3.08,1.5
CZFS,Citizens Financial Services Inc. Common Stock,"NASDAQ",2022-09-30,FINANCE,289104000,STATE COMMERCIAL BANKS,PA,1.9,1.74,-0.15999999999999992,1,0,20813000,36.24658,58.85744,102.30647,1.238,11.019,135.257,262.8,121.938,0.321,3.941,3.08,1.5
CZNC,Citizens & Northern Corp,"NASDAQ",2022-09-30,FINANCE,380535000,STATE COMMERCIAL BANKS,PA,0.29,0.48,0.19,1,1,23452000,18.99625,35.19529,-279.6633,2606.593,4.052,40.726,-440.1,49.719,0.186,1.866,3.08,1.5
CZR,Caesars Entertainment Corporation,"NASDAQ",2022-09-30,REAL ESTATE & CONSTRUCTION,11024401000,HOTELS & MOTELS,NV,0.24,-0.57,-0.8099999999999999,1,0,2302000000,2.25891,40.52997,1267.30769,79.802,39.626,346.847,115.8,2623.077,0.155,1.355,3.08,1.5
CZWI,Citizens Community Bancorp Inc,"NASDAQ",2022-09-30,FINANCE,146980000,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",WI,0.38,0.41,0.02999999999999997,1,1,16900000,23.62722,54.30769,34.15978,2.05,9.824,107.079,38.9,131.43,0.224,2.445,3.08,1.5
D,Dominion Energy Inc,NYSE,2022-09-30,ENERGY & TRANSPORTATION,50388140000,ELECTRIC SERVICES,VA,1.11,0.77,-0.3400000000000001,1,0,4386000000,17.73826,41.01687,137.7892,71.467,7.795,28.247,325.8,440.617,0.751,2.723,3.08,1.5
DAIO,Data I/O Corporation,"NASDAQ",2022-09-30,LIFE SCIENCES,34824700,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,WA,0.1,-0.08,-0.18,1,0,7212000,11.74432,18.24737,84.06139,346.782,6.268,9.255,71200000,485.36,3.2,4.725,3.08,1.5
DAL,Delta Air Lines Inc,NYSE,2022-09-30,ENERGY & TRANSPORTATION,22896822000,"AIR TRANSPORTATION, SCHEDULED",GA,1.51,1.44,-0.07000000000000006,1,0,13693000000,5.07559,8.83663,209.4964,57.205,31.163,492.876,587.1,852.086,0.957,15.142,3.08,1.5
DALN,Dallasnews Corp,"NASDAQ",2022-09-30,MANUFACTURING,24086200,NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING,TX,-0.48,-0.45,0.02999999999999997,0,1,37688000,-6.8616,-4.47357,88.59242,208.791,21.729,68.008,-229100000,-699.884,-3.342,-10.459,3.08,1.5
DAN,Dana Inc,NYSE,2022-09-30,MANUFACTURING,2531761000,MOTOR VEHICLE PARTS & ACCESSORIES,OH,0.24,0.08,-0.15999999999999998,1,0,2503000000,-3.51578,-0.75909,114.77273,148.758,2.715,12.824,-315.6,157.955,-1.149,-5.425,3.08,1.5
DAR,Darling Ingredients Inc,NYSE,2022-09-30,MANUFACTURING,10125922000,FATS & OILS,TX,1.17,1.23,0.06000000000000005,1,1,1747106000,10.937,21.36728,140.42788,151.952,39.299,96.695,673.9,84.42,2.169,5.337,3.08,1.5
DATS,DatChat Inc,"NASDAQ",2022-09-30,TECHNOLOGY,9722000,TELEGRAPH & OTHER MESSAGE COMMUNICATIONS,NJ,-0.13,-0.13,0,0,1,3540,-75048.16384,-73008954.80226,100.94873,3225.168,1.05,1.088,-268191000,21.067,-16.823,-17.431,3.08,1.5
DBD,Diebold Nixdorf Inc,NYSE,2022-09-30,TECHNOLOGY,164482000,CALCULATING & ACCOUNTING MACHINES (NO ELECTRONIC COMPUTERS),OH,-0.12,0.38,0.5,0,1,810400000,-6.14511,1.04886,-11.04418,42.998,83.047,-181.623,10.8,-389.157,-1.713,3.746,3.08,1.5
DBGI,Digital Brands Group Inc,"NASDAQ",2022-09-30,TRADE & SERVICES,5728100,RETAIL-APPAREL & ACCESSORY STORES,CA,-925.58,-0.27,925.3100000000001,0,1,3424522,-142.92424,-59.9778,52.95292,10.558,14.929,9501427.273,-259176600,-33.78,-13.982,-8899040,3.08,1.5
DBX,Dropbox Inc,"NASDAQ",2022-09-30,TECHNOLOGY,8530895000,SERVICES-PREPACKAGED SOFTWARE,CA,0.43,0.38,-0.04999999999999999,1,0,601400000,13.83439,18.83937,107.33173,136.605,153.593,-702.063,8930,578.486,3.078,-14.071,3.08,1.5
DCI,Donaldson Company Inc,NYSE,2022-07-31,TECHNOLOGY,7465228000,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP,MN,0.84,0.67,-0.16999999999999993,1,0,879600000,11.48249,15.34789,128.0198,223.396,24.778,56.857,3153.7,288.713,3.884,8.913,1.58,1.25
DCO,Ducommun Incorporated,NYSE,2022-09-30,MANUFACTURING,626299000,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC",CA,0.96,0.76,-0.19999999999999996,1,0,183297000,4.61655,11.39462,156.19239,275.039,24.463,47.576,440.9,456.003,0.855,1.663,3.08,1.5
DCOM,Dime Community Bancshares Inc,"NASDAQ",2022-09-30,FINANCE,1390582000,"NATIONAL COMMERCIAL BANKS",NY,0.98,0.94,-0.040000000000000036,1,0,104534000,37.76857,66.41954,86.74806,501.789,6.366,71.906,243.1,125.744,0.306,3.461,3.08,1.5
DCPH,Deciphera Pharmaceuticals LLC,"NASDAQ",2022-09-30,LIFE SCIENCES,1057564000,PHARMACEUTICAL PREPARATIONS,MA,-0.55,-0.6,-0.04999999999999993,0,0,36674000,-117.36653,-110.33157,104.27015,557.692,6.278,7.994,-2441.8,-7.676,-9.044,-11.516,3.08,1.5
DCT,Duck Creek Technologies Inc,"NASDAQ",2022-08-31,TECHNOLOGY,1506599000,SERVICES-PREPACKAGED SOFTWARE,MA,0.03,0.01,-0.019999999999999997,1,0,78488000,-3.03358,-1.82448,89.54221,443.445,2.671,3.062,-449.8,-1996.178,-0.284,-0.325,2.33,1.5
DCTH,Delcath Systems Inc,"NASDAQ",2022-09-30,LIFE SCIENCES,25793000,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,NY,-0.92,-1.18,-0.2599999999999999,0,0,906000,-938.74172,-854.19426,91.72252,127.925,87.205,20509.302,-1560.2,-7.889,-42.05,-9889.535,3.08,1.5
DDD,3D Systems Corporation,NYSE,2022-09-30,TECHNOLOGY,1335229000,SERVICES-PREPACKAGED SOFTWARE,SC,-0.05,-0.07,-0.020000000000000004,0,0,131583000,-28.4216,-20.00562,90.12514,567.86,34.866,67.816,-5030.6,-140.836,-2.613,-5.082,3.08,1.5
DDOG,Datadog Inc,"NASDAQ",2022-09-30,TECHNOLOGY,23724906000,SERVICES-PREPACKAGED SOFTWARE,NY,0.23,0.24,0.009999999999999981,1,1,432805000,-6.00386,-2.31467,120.61574,322.738,26.38,57.234,-840.7,-1319.738,-0.929,-2.015,3.08,1.5
DE,Deere & Company,NYSE,2022-07-31,TECHNOLOGY,134494003000,FARM MACHINERY & EQUIPMENT,IL,6.16,4.12,-2.04,1,0,14102000000,13.35981,20.39427,140.44586,95.09,5.535,25.246,893.9,695.382,2.17,9.899,1.58,1.5
DEA,Eerly Govt Ppty Inc,NYSE,2022-09-30,REAL ESTATE & CONSTRUCTION,1410342000,REAL ESTATE INVESTMENT TRUSTS,DC,0.01,0.08,0.07,1,1,75041000,0.85553,5.6036,-3246.88474,18.371,46.276,109.397,-8870.2,2834.424,0.022,0.051,3.08,1.5
DECK,Deckers Outdoor Corporation,NYSE,2022-09-30,MANUFACTURING,10304054000,RUBBER & PLASTICS FOOTWEAR,CA,3.8,1.66,-2.1399999999999997,1,0,875614000,11.59461,16.13371,125.9121,262.589,7.993,13.006,12315.1,415.587,4.116,6.698,3.08,1.5
DEI,Douglas Emmett Inc,NYSE,2022-09-30,REAL ESTATE & CONSTRUCTION,3483090000,REAL ESTATE INVESTMENT TRUSTS,CA,0.13,0.14,0.010000000000000009,1,1,253663000,9.04941,53.07987,167.14441,134.396,52.934,200.895,99.9,636.528,0.234,0.888,3.08,1.5
DENN,Denny`s Corp,"NASDAQ",2022-09-30,TRADE & SERVICES,661617000,RETAIL-EATING PLACES,SC,0.12,0.11,-0.009999999999999995,1,0,123905000,13.78718,21.51891,92.50132,54.391,-0.502,-384,428.1,213.733,3.433,2628.154,3.08,1.5
DERM,Journey Medical Corp,"NASDAQ",2022-09-30,LIFE SCIENCES,32753000,PHARMACEUTICAL PREPARATIONS,AZ,-0.57,-0.43,0.13999999999999996,0,1,16116000,-62.54654,-52.81087,94.16667,130.964,-0.176,-0.726,-1698,-88.244,-9.321,-38.497,3.08,1.5
DFH,Dream Finders Homes Inc - Class A,NYSE,2022-09-30,REAL ESTATE & CONSTRUCTION,885858000,OPERATIVE BUILDERS,FL,0.64,0.6,-0.040000000000000036,1,0,785669000,8.86391,10.66518,114.15402,153.234,42.69,136.303,1589960,211.388,3.045,9.721,3.08,1.5
DFS,Discover Financial Services,NYSE,2022-09-30,FINANCE,28798020000,PERSONAL CREDIT INSTITUTIONS,IL,3.54,3.96,0.41999999999999993,1,1,2769000000,36.33081,71.39762,-5.4672,11.443,12.173,103.857,-10.7,60.437,0.825,7.042,3.08,1.5
DGICA,Donegal Group A Inc,"NASDAQ",2022-09-30,FINANCE,478244000,"FIRE, MARINE & CASUALTY INSURANCE",PA,-0.27,-0.05,0.22000000000000003,0,1,212838248,-4.875,-5.7116,1632.34452,165.254,1.565,7.273,-237113.2,1306.699,-0.464,-2.156,3.08,1.5
DGICB,Donegal Group B Inc,"NASDAQ",2022-09-30,FINANCE,484080000,"FIRE, MARINE & CASUALTY INSURANCE",PA,-0.27,-0.05,0.22000000000000003,0,1,212838248,-4.875,-5.7116,1632.34452,165.254,1.565,7.273,-237113.2,1306.699,-0.464,-2.156,3.08,1.5
DGLY,Digital Ally Inc,"NASDAQ",2022-09-30,MANUFACTURING,17572500,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,KS,-0.04,-0.02,0.02,0,1,8484153,-22.42386,-69.91107,345.18314,248.87,1.816,2.585,-46068.2,-31.301,-2.781,-3.96,3.08,1.5
DGX,Quest Diagnostics Incorporated,NYSE,2022-09-30,LIFE SCIENCES,17135510000,SERVICES-MEDICAL LABORATORIES,NJ,2.36,2.36,0,1,1,2453000000,10.4362,16.34733,153.125,145.693,35.09,74.419,1059.5,326.172,1.936,4.106,3.08,1.5
DH,Definitive Healthcare Corp,"NASDAQ",2022-09-30,TECHNOLOGY,1308246000,SERVICES-PREPACKAGED SOFTWARE,MA,0.06,0.06,0,1,1,57382000,-4.68614,17.07678,350.72518,330.895,13.119,18.822,-382.4,-1772.332,-0.127,-0.182,3.08,1.5
DHI,DR Horton Inc,NYSE,2022-09-30,REAL ESTATE & CONSTRUCTION,29726958000,OPERATIVE BUILDERS,TX,4.67,4.67,0,1,1,9639400000,16.92844,21.48163,122.50276,8203.827,49.358,77.234,4087.9,176.394,5.376,8.413,3.08,1.5
DHR,Danaher Corporation,NYSE,2022-09-30,LIFE SCIENCES,199629308000,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",DC,2.56,2.76,0.19999999999999973,1,1,7648000000,20.55439,32.85826,128.18066,178.08,23.753,40.964,4797.6,291.603,1.94,3.346,3.08,1.5
DHX,DHI Group Inc,NYSE,2022-09-30,TRADE & SERVICES,272412000,"SERVICES-BUSINESS SERVICES, NEC",CO,-0.02,0.03,0.05,0,1,38527000,-2.40351,10.1669,-131.53348,36.022,13.466,28.481,272.5,-3668.035,-0.416,-0.879,3.08,1.5
DIN,Dine Brands Global Inc,NYSE,2022-09-30,TRADE & SERVICES,1143747000,RETAIL-EATING PLACES,CA,1.66,1.65,-0.010000000000000009,1,0,233220000,8.98208,21.09639,212.59309,124.403,70.045,552520,260.4,450.31,1.062,8379.2,3.08,1.5
DINO,HF Sinclair Corp,NYSE,2022-09-30,ENERGY & TRANSPORTATION,11325243000,PIPE LINES (NO NATURAL GAS),TX,4.58,5.59,1.0099999999999998,1,1,10599002000,9.00467,13.89811,139.10876,210.575,20.343,41.128,2961.5,213.214,5.236,10.587,3.08,1.5
DIOD,Diodes Incorporated,"NASDAQ",2022-09-30,MANUFACTURING,4162751000,SEMICONDUCTORS & RELATED DEVICES,TX,2,1.9,-0.10000000000000009,1,0,517541000,16.69162,22.63821,130.16693,249.552,11.081,18.754,4128,252.145,3.656,6.188,3.08,1.5
DIS,Walt Disney Company,NYSE,2022-09-30,TRADE & SERVICES,177084826000,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,CA,0.3,1.09,0.79,1,1,20150000000,0.80397,10.09926,985.80247,100.086,23.753,50.91,368,334.568,0.08,0.171,3.08,1.5
DISH,DISH Network Corporation,"NASDAQ",2022-09-30,TECHNOLOGY,8257785000,CABLE & OTHER PAY TELEVISION SERVICES,CO,0.65,0.82,0.16999999999999993,1,1,4091525000,10.07522,11.74068,103.58999,49.527,39.443,113.763,10876.9,143.558,0.841,2.426,3.08,1.5
DIT,AMCON Distributing Company,NYSE MKT,2022-09-30,TRADE & SERVICES,105113000,"WHOLESALE-GROCERIES, GENERAL LINE",NE,8.0066,10.27,2.263399999999999,1,1,644734541,0.70917,1.2801,174.93667,293.097,3.106,9.673,779,884.32,1.581,4.925,3.08,1.5
DK,Delek US Energy Inc,NYSE,2022-09-30,ENERGY & TRANSPORTATION,2016198000,PETROLEUM REFINING,TN,0.02,4.4,4.380000000000001,1,1,5324900000,0.13897,1.11551,716.21622,105.228,32.555,235.594,104.5,1948.649,0.088,0.638,3.08,1.5
DLA,Delta Apparel Inc,NYSE MKT,2022-09-30,TRADE & SERVICES,90872000,"WHOLESALE-APPAREL, PIECE GOODS & NOTIONS",SC,-0.04,0.88,0.92,0,1,115540000,-0.24494,5.19128,-787.27915,234.935,27.865,79.577,94.3,-7640.989,-0.054,-0.154,3.08,1.5
DLPN,Dolphin Entertainment Inc,"NASDAQ",2022-09-30,TRADE & SERVICES,26046000,SERVICES-PERSONAL SERVICES,FL,-0.14,-0.09,0.05000000000000002,0,1,9899013,-13.25101,-7.70291,86.43368,113.696,23.377,44.952,-898.8,-690.817,-2.354,-4.526,3.08,1.5
DLR,Digital Realty Trust Inc,NYSE,2022-09-30,REAL ESTATE & CONSTRUCTION,32569612000,REAL ESTATE INVESTMENT TRUSTS,CA,0.75,0.19,-0.56,1,0,1192083000,19.88746,60.55426,66.38448,51.813,90.819,208.715,205.7,297.767,0.605,1.389,3.08,1.5
DLTH,Duluth Holdings Inc,"NASDAQ",2022-07-31,TRADE & SERVICES,227637000,RETAIL-APPAREL & ACCESSORY STORES,WI,0.07,0.09,0.01999999999999999,1,1,141511000,1.67337,8.35836,163.38682,202.383,5.473,11.863,440.2,3192.905,0.48,1.04,1.58,1.5
DLX,Deluxe Corporation,NYSE,2022-09-30,MANUFACTURING,820018000,"BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK",MN,0.99,0.99,0,1,1,555038000,2.65297,15.66686,282.60102,93.953,56.503,277.714,174.9,2029.29,0.498,2.447,3.08,1.5
DMRC,Digimarc Corporation,"NASDAQ",2022-09-30,TECHNOLOGY,464635000,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,OR,-0.47,-0.47,0,0,1,7821000,-190.8963,-194.4892,103.99866,544.168,5.046,6.001,-1552700000,-27.897,-12.45,-14.807,3.08,1.5
DNAY,Codex DNA Inc,"NASDAQ",2022-09-30,LIFE SCIENCES,40740100,LABORATORY ANALYTICAL INSTRUMENTS,CA,-0.42,-0.5,-0.08000000000000002,0,0,6675000,-184.4794,-180.55431,91.36755,485.517,43.6,72.09,-7212.2,-29.714,-13.971,-23.1,3.08,1.5
DNB,Dun & Bradstreet Holdings Inc.,NYSE,2022-09-30,TRADE & SERVICES,5982592000,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",NJ,0.29,0.25,-0.03999999999999998,1,0,507700000,1.57573,38.99941,568.75,71.188,38.016,101.688,92.7,-108.75,0.085,0.227,3.08,1.5
DNLI,Denali Therapeutics Inc,"NASDAQ",2022-09-30,LIFE SCIENCES,4431611000,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",CA,-0.84,-0.48,0.36,0,1,3559000,-2902.4726,-2724.66985,104.05328,315.67,5.054,7.648,-2567.1,19.071,-8.415,-12.732,3.08,1.5
