,Symbol,Name,Sector,Industry
804,BMRA,Biomerica Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
805,BMRC,Bank of Marin Bancorp Common Stock,Finance,Major Banks
806,BMRN,BioMarin Pharmaceutical Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
807,BMY,Bristol-Myers Squibb Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
808,BNED,Barnes & Noble Education Inc Common Stock,Consumer Discretionary,Other Specialty Stores
809,BNFT,Benefitfocus Inc. Common Stock,Technology,Computer Software: Prepackaged Software
810,BNGO,Bionano Genomics Inc. Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments
812,BNIX,Bannix Acquisition Corp. Common Stock,Industrials,Consumer Electronics/Appliances
815,BNL,Broadstone Net Lease Inc. Common Stock,Real Estate,Real Estate Investment Trusts
816,BNNR,Banner Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
819,BNTC,Benitec Biopharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
822,BOC,Boston Omaha Corporation Class A Common Stock,Consumer Discretionary,Advertising
824,BODY,The Beachbody Company Inc. Class A Common Stock,Industrials,Industrial Machinery/Components
826,BOH,Bank of Hawaii Corporation Common Stock,Finance,Major Banks
828,BOKF,BOK Financial Corporation Common Stock,Finance,Major Banks
829,BOLT,Bolt Biotherapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
830,BOOM,DMC Global Inc. Common Stock,,
831,BOOT,Boot Barn Holdings Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
832,BOTJ,Bank of the James Financial Group Inc. Common Stock,Finance,Major Banks
833,BOWL,Bowlero Corp. Class A Common Stock,Consumer Discretionary,Movies/Entertainment
834,BOX,Box Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
835,BOXL,Boxlight Corporation Class A Common Stock,Telecommunications,Telecommunications Equipment
838,BPMC,Blueprint Medicines Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
839,BPOP,Popular Inc. Common Stock,Finance,Major Banks
841,BPRN,The Bank of Princeton Common Stock,Finance,Major Banks
842,BPT,BP Prudhoe Bay Royalty Trust Common Stock,Energy,Integrated oil Companies
843,BPTH,Bio-Path Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
844,BR,Broadridge Financial Solutions Inc. Common Stock,Consumer Discretionary,Business Services
845,BRAC,Broad Capital Acquisition Corp Common Stock,Industrials,Consumer Electronics/Appliances
846,BRBR,BellRing Brands Inc. Common Stock ,Consumer Staples,Beverages (Production/Distribution)
847,BRC,Brady Corporation Common Stock,Technology,Security Systems Services
848,BREZ,Breeze Holdings Acquisition Corp. Common Stock,Industrials,Consumer Electronics/Appliances
851,BRFH,Barfresh Food Group Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution)
852,BRID,Bridgford Foods Corporation Common Stock,Consumer Staples,Specialty Foods
853,BRIV,B. Riley Principal 250 Merger Corp. Class A common stock,Industrials,Consumer Electronics/Appliances
858,BRKH,BurTech Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
860,BRKL,Brookline Bancorp Inc. Common Stock,Finance,Savings Institutions
861,BRKR,Bruker Corporation Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments
862,BRLT,Brilliant Earth Group Inc. Class A Common Stock,Consumer Discretionary,Consumer Specialties
863,BRMK,Broadmark Realty Capital Inc. Common Stock,Real Estate,Real Estate Investment Trusts
864,BRN,Barnwell Industries Inc. Common Stock,Energy,Oil & Gas Production
865,BRO,Brown & Brown Inc. Common Stock,Finance,Specialty Insurers
866,BRP,BRP Group Inc. (Insurance Company) Class A Common Stock,Finance,Specialty Insurers
867,BRT,BRT Apartments Corp. (MD) Common Stock,Real Estate,Real Estate Investment Trusts
868,BRTX,BioRestorative Therapies Inc. Common Stock,Health Care,Managed Health Care
870,BRY,Berry Corporation (bry) Common Stock,Energy,Oil & Gas Production
871,BRZE,Braze Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
872,BSBK,Bogota Financial Corp. Common Stock,,
873,BSET,Bassett Furniture Industries Incorporated Common Stock,Consumer Discretionary,Home Furnishings
874,BSFC,Blue Star Foods Corp. Common Stock,Consumer Staples,Farming/Seeds/Milling
875,BSGM,BioSig Technologies Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
876,BSKY,Big Sky Growth Partners Inc. Class A Common Stock,Industrials,Consumer Electronics/Appliances
881,BSQR,BSQUARE Corporation Common Stock,Consumer Discretionary,Business Services
882,BSRR,Sierra Bancorp Common Stock,Finance,Major Banks
884,BSVN,Bank7 Corp. Common stock,Finance,Major Banks
885,BSX,Boston Scientific Corporation Common Stock,Health Care,Medical/Dental Instruments
887,BSY,Bentley Systems Incorporated Class B Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
889,BTAI,BioXcel Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
890,BTBD,BT Brands Inc. Common Stock,Consumer Discretionary,Restaurants
893,BTCS,BTCS Inc. Common Stock,Finance,Investment Managers
894,BTCY,Biotricity Inc. Common Stock,Health Care,Medical/Dental Instruments
895,BTMD,Biote Corp. Class A Common Stock,Health Care,Managed Health Care
897,BTN,Ballantyne Strong Inc. Common Stock,Consumer Discretionary,Industrial Machinery/Components
898,BTO,John Hancock Financial Opportunities Fund Common Stock,Finance,Investment Managers
900,BTRS,BTRS Holdings Inc. Class 1 Common Stock,Technology,EDP Services
902,BTTX,Better Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
903,BTU,Peabody Energy Corporation Common Stock ,Energy,Coal Mining
906,BUSE,First Busey Corporation Class A Common Stock,Finance,Major Banks
907,BV,BrightView Holdings Inc. Common Stock,Consumer Discretionary,Business Services
908,BVH,Bluegreen Vacations Holding Corporation Class A Common Stock,Consumer Discretionary,Hotels/Resorts
909,BVS,Bioventus Inc. Class A Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
910,BW,Babcock & Wilcox Enterprises Inc. Common Stock,Technology,Industrial Machinery/Components
912,BWA,BorgWarner Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
913,BWAC,Better World Acquisition Corp. Common Stock,Industrials,Consumer Electronics/Appliances
916,BWB,Bridgewater Bancshares Inc. Common Stock,Finance,Major Banks
918,BWEN,Broadwind Inc. Common Stock,Industrials,Industrial Machinery/Components
919,BWFG,Bankwell Financial Group Inc. Common Stock,Finance,Major Banks
921,BWMN,Bowman Consulting Group Ltd. Common Stock,Consumer Discretionary,Professional Services
924,BWV,Blue Water Vaccines Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
925,BWXT,BWX Technologies Inc. Common Stock,,
926,BX,Blackstone Inc. Common Stock,Finance,Investment Managers
927,BXC,Bluelinx Holdings Inc. Common Stock,Consumer Discretionary,Wholesale Distributors
928,BXMT,Blackstone Mortgage Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
930,BXP,Boston Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
931,BXRX,Baudax Bio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
932,BY,Byline Bancorp Inc. Common Stock,Finance,Major Banks
933,BYD,Boyd Gaming Corporation Common Stock,Consumer Discretionary,Movies/Entertainment
934,BYFC,Broadway Financial Corporation Common Stock,Finance,Savings Institutions
936,BYND,Beyond Meat Inc. Common Stock,Consumer Staples,Specialty Foods
937,BYRN,Byrna Technologies Inc. Common Stock,Consumer Discretionary,Military/Government/Technical
942,BZFD,BuzzFeed Inc. Class A Common Stock,Consumer Discretionary,Movies/Entertainment
944,BZH,Beazer Homes USA Inc. Common Stock,Consumer Discretionary,Homebuilding
945,C,Citigroup Inc. Common Stock,Finance,Major Banks
949,CABA,Cabaletta Bio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
950,CABO,Cable One Inc. Common Stock,Consumer Discretionary,Telecommunications Equipment
951,CAC,Camden National Corporation Common Stock,Finance,Major Banks
952,CACC,Credit Acceptance Corporation Common Stock,Finance,Finance: Consumer Services
953,CACI,CACI International Inc. Class A Common Stock,Technology,EDP Services
954,CADE,Cadence Bank Common Stock,Finance,Major Banks
956,CADL,Candel Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
957,CAF,Morgan Stanley China A Share Fund Inc. Common Stock,Finance,Investment Managers
958,CAG,ConAgra Brands Inc. Common Stock,Consumer Staples,Packaged Foods
959,CAH,Cardinal Health Inc. Common Stock,Health Care,Other Pharmaceuticals
960,CAKE,Cheesecake Factory Incorporated (The) Common Stock,Consumer Discretionary,Restaurants
961,CAL,Caleres Inc. Common Stock,Consumer Discretionary,Shoe Manufacturing
962,CALA,Calithera Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
963,CALB,California BanCorp Common Stock,Finance,Major Banks
964,CALM,Cal-Maine Foods Inc. Common Stock,Consumer Staples,Farming/Seeds/Milling
965,CALX,Calix Inc Common Stock,Technology,Computer Software: Prepackaged Software
966,CAMP,CalAmp Corp. Common Stock,Consumer Discretionary,Telecommunications Equipment
969,CAPR,Capricor Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
970,CAR,Avis Budget Group Inc. Common Stock,Consumer Discretionary,Rental/Leasing Companies
971,CARA,Cara Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
972,CARE,Carter Bankshares Inc. Common Stock,Finance,Major Banks
973,CARG,CarGurus Inc. Class A Common Stock ,Technology,Interactive Media
974,CARV,Carver Bancorp Inc. Common Stock,Finance,Savings Institutions
975,CASA,Casa Systems Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
976,CASH,Pathward Financial Inc. Common Stock,Finance,Banks
977,CASI,CASI Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
978,CASS,Cass Information Systems Inc Common Stock,Consumer Discretionary,Business Services
979,CASY,Casey's General Stores Inc. Common Stock,Miscellaneous,Diversified Commercial Services
980,CAT,Caterpillar Inc. Common Stock,Industrials,Construction/Ag Equipment/Trucks
981,CATC,Cambridge Bancorp Common Stock,Finance,Major Banks
982,CATO,Cato Corporation (The) Class A Common Stock,,
983,CATY,Cathay General Bancorp Common Stock,Finance,Major Banks
984,CBAN,Colony Bankcorp Inc. Common Stock,Finance,Major Banks
985,CBAY,CymaBay Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
986,CBFV,CB Financial Services Inc. Common Stock,Finance,Major Banks
988,CBIO,Catalyst Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
989,CBL,CBL & Associates Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
990,CBNK,Capital Bancorp Inc. Common Stock,Finance,Major Banks
991,CBRE,CBRE Group Inc Common Stock Class A,Finance,Real Estate
995,CBRL,Cracker Barrel Old Country Store Inc Common Stock,Consumer Discretionary,Restaurants
996,CBSH,Commerce Bancshares Inc. Common Stock,Finance,Major Banks
997,CBT,Cabot Corporation Common Stock,Industrials,Specialty Chemicals
998,CBU,Community Bank System Inc. Common Stock,Finance,Major Banks
999,CBZ,CBIZ Inc. Common Stock,Consumer Discretionary,Business Services
1000,CC,Chemours Company (The) Common Stock,Industrials,Industrial Specialties
1001,CCAI,Cascadia Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
1003,CCAP,Crescent Capital BDC Inc. Common stock,Industrials,Consumer Electronics/Appliances
1004,CCB,Coastal Financial Corporation Common Stock,Finance,Commercial Banks
1005,CCBG,Capital City Bank Group Common Stock,Finance,Major Banks
1006,CCCC,C4 Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1007,CCCS,CCC Intelligent Solutions Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software
1008,CCD,Calamos Dynamic Convertible & Income Fund Common Stock,Finance,Trusts Except Educational Religious and Charitable
1009,CCEL,Cryo-Cell International Inc. Common Stock,Health Care,Managed Health Care
1010,CCF,Chase Corporation Common Stock,Consumer Discretionary,Paints/Coatings
1011,CCI,Crown Castle Inc. Common Stock,Real Estate,Real Estate Investment Trusts
1013,CCL,Carnival Corporation Common Stock,,
1015,CCNE,CNB Financial Corporation Common Stock,Finance,Major Banks
1017,CCO,Clear Channel Outdoor Holdings Inc. Common Stock,Consumer Discretionary,Advertising
1019,CCRD,CoreCard Corporation Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
1020,CCRN,Cross Country Healthcare Inc. Common Stock $0.0001 Par Value,Consumer Discretionary,Diversified Commercial Services
1021,CCS,Century Communities Inc. Common Stock,Consumer Discretionary,Homebuilding
1022,CCSI,Consensus Cloud Solutions Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
1027,CDAK,Codiak BioSciences Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
1030,CDAY,Ceridian HCM Holding Inc. Common Stock,Technology,EDP Services
1031,CDE,Coeur Mining Inc. Common Stock,Basic Materials,Precious Metals
1032,CDIO,Cardio Diagnostics Holdings Inc. Common stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch
1034,CDLX,Cardlytics Inc. Common Stock,Consumer Discretionary,Advertising
1035,CDMO,Avid Bioservices Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1036,CDNA,CareDx Inc. Common Stock,Health Care,Medical Specialities
1037,CDNS,Cadence Design Systems Inc. Common Stock,Technology,Computer Software: Prepackaged Software
1040,CDTX,Cidara Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1041,CDW,CDW Corporation Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
1042,CDXC,ChromaDex Corporation Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
1043,CDXS,Codexis Inc. Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch
1044,CDZI,CADIZ Inc. Common Stock,Utilities,Water Supply
1046,CE,Celanese Corporation Celanese Corporation Common Stock,Industrials,Major Chemicals
1047,CEAD,CEA Industries Inc. Common Stock,Industrials,Industrial Machinery/Components
1049,CECO,CECO Environmental Corp. Common Stock,Industrials,Pollution Control Equipment
1050,CEE,The Central and Eastern Europe Fund Inc. (The) Common Stock,Finance,Finance Companies
1051,CEG,Constellation Energy Corporation Common Stock ,Utilities,Power Generation
1052,CEI,Camber Energy Inc. Common Stock,Energy,Oil & Gas Production
1053,CELC,Celcuity Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1054,CELH,Celsius Holdings Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution)
1055,CELU,Celularity Inc. Class A Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1057,CELZ,Creative Medical Technology Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1058,CEM,ClearBridge MLP and Midstream Fund Inc. Common Stock,Finance,Trusts Except Educational Religious and Charitable
1059,CEMI,Chembio Diagnostics Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
1063,CENT,Central Garden & Pet Company Common Stock,,
1064,CENTA,Central Garden & Pet Company Class A Common Stock Nonvoting,,
1065,CENX,Century Aluminum Company Common Stock,Industrials,Aluminum
1068,CERE,Cerevel Therapeutics Holdings Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
1069,CERS,Cerus Corporation Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
1070,CERT,Certara Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
1071,CET,Central Securities Corporation Common Stock,Finance,Finance/Investors Services
1072,CETX,Cemtrex Inc. Common Stock,Technology,EDP Services
1075,CEVA,CEVA Inc. Common Stock,Technology,Semiconductors
1076,CF,CF Industries Holdings Inc. Common Stock,Industrials,Agricultural Chemicals
1077,CFB,CrossFirst Bankshares Inc. Common Stock,Finance,Commercial Banks
1078,CFBK,CF Bankshares Inc. Common Stock,Finance,Savings Institutions
1079,CFFE,CF Acquisition Corp. VIII Class A Common Stock,Industrials,Consumer Electronics/Appliances
1082,CFFI,C&F Financial Corporation Common Stock,Finance,Major Banks
1083,CFFN,Capitol Federal Financial Inc. Common Stock,Finance,Savings Institutions
1084,CFFS,CF Acquisition Corp. VII Class A Common Stock,Industrials,Consumer Electronics/Appliances
1085,CFG,Citizens Financial Group Inc. Common Stock,Finance,Major Banks
1088,CFIV,CF Acquisition Corp. IV Class A common stock,Industrials,Consumer Electronics/Appliances
1091,CFLT,Confluent Inc. Class A Common Stock,Technology,EDP Services
1092,CFMS,Conformis Inc. Common Stock,Health Care,Medical/Dental Instruments
1093,CFR,Cullen/Frost Bankers Inc. Common Stock,Finance,Major Banks
1095,CFRX,ContraFect Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1096,CFSB,CFSB Bancorp Inc. Common Stock,Finance,Major Banks
1097,CG,The Carlyle Group Inc. Common Stock,Finance,Investment Managers
1099,CGBD,Carlyle Secured Lending Inc. Common Stock,Finance,Finance Companies
1100,CGEM,Cullinan Oncology Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1101,CGNX,Cognex Corporation Common Stock,Industrials,Industrial Machinery/Components
1102,CGO,Calamos Global Total Return Fund Common Stock,Finance,Investment Managers
1103,CGRN,Capstone Green Energy Corporation Common Stock,,
1104,CGTX,Cognition Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1105,CHCI,Comstock Holding Companies Inc. Class A Common Stock,Real Estate,Building operators
1106,CHCO,City Holding Company Common Stock,Finance,Major Banks
1107,CHCT,Community Healthcare Trust Incorporated Common Stock,Real Estate,Real Estate Investment Trusts
1108,CHD,Church & Dwight Company Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics
1109,CHDN,Churchill Downs Incorporated Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
1111,CHEF,The Chefs' Warehouse Inc. Common Stock,Consumer Discretionary,Food Distributors
1112,CHH,Choice Hotels International Inc. Common Stock,Consumer Discretionary,Hotels/Resorts
1113,CHI,Calamos Convertible Opportunities and Income Fund Common Stock,Finance,Investment Managers
1114,CHK,Chesapeake Energy Corporation Common Stock,Energy,Oil & Gas Production
1118,CHMG,Chemung Financial Corp Common Stock,Finance,Major Banks
1119,CHN,China Fund Inc. (The) Common Stock,Finance,Investment Managers
1120,CHPT,ChargePoint Holdings Inc. Common Stock,Miscellaneous,Diversified Commercial Services
1121,CHRA,Charah Solutions Inc. Common Stock,Utilities,Medical Specialities
1123,CHRD,Chord Energy Corporation Common Stock,Energy,Oil & Gas Production
1124,CHRS,Coherus BioSciences Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
1125,CHRW,C.H. Robinson Worldwide Inc. Common Stock,Consumer Discretionary,Oil Refining/Marketing
1126,CHS,Chico's FAS Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
1132,CHTR,Charter Communications Inc. Class A Common Stock New,Consumer Discretionary,Telecommunications Equipment
1133,CHUY,Chuy's Holdings Inc. Common Stock,Consumer Discretionary,Restaurants
1134,CHW,Calamos Global Dynamic Income Fund Common Stock,Finance,Investment Managers
1135,CHX,ChampionX Corporation Common Stock ,Industrials,Construction/Ag Equipment/Trucks
1136,CHY,Calamos Convertible and High Income Fund Common Stock,Finance,Investment Managers
1137,CI,Cigna Corporation Common Stock,Health Care,Medical Specialities
1138,CIA,Citizens Inc. Class A Common Stock ($1.00 Par),Finance,Life Insurance
1139,CIDM,Cinedigm Corp. Class A Common Stock,Consumer Discretionary,Movies/Entertainment
1140,CIEN,Ciena Corporation Common Stock,Utilities,Telecommunications Equipment
1141,CIF,MFS Intermediate High Income Fund Common Stock,Finance,Trusts Except Educational Religious and Charitable
1142,CIFR,Cipher Mining Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
1145,CIIG,CIIG Capital Partners II Inc. Class A Common Stock,Industrials,Consumer Electronics/Appliances
1148,CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,Finance,Finance/Investors Services
1149,CIM,Chimera Investment Corporation Common Stock,Real Estate,Real Estate Investment Trusts
1154,CINC,CinCor Pharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1155,CINF,Cincinnati Financial Corporation Common Stock,Finance,Property-Casualty Insurers
1156,CING,Cingulate Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1158,CIR,CIRCOR International Inc. Common Stock,Industrials,Fluid Controls
1159,CISO,Cerberus Cyber Sentinel Corporation Common Stock,Technology,Computer Software: Prepackaged Software
1161,CIVB,Civista Bancshares Inc. Common Stock,Finance,Major Banks
1162,CIVI,Civitas Resources Inc. Common Stock,Energy,Oil & Gas Production
1163,CIX,CompX International Inc. Common Stock,Technology,Security Systems Services
1164,CIZN,Citizens Holding Company Common Stock,Finance,Major Banks
1165,CKPT,Checkpoint Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1166,CKX,CKX Lands Inc. Common Stock,Energy,Oil & Gas Production
1167,CL,Colgate-Palmolive Company Common Stock,Consumer Discretionary,Package Goods/Cosmetics
1168,CLAR,Clarus Corporation Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
1171,CLBK,Columbia Financial Inc. Common Stock,Finance,Commercial Banks
1175,CLF,Cleveland-Cliffs Inc. Common Stock,,
1176,CLFD,Clearfield Inc. Common Stock,Utilities,Telecommunications Equipment
1177,CLH,Clean Harbors Inc. Common Stock,,
1178,CLIN,Clean Earth Acquisitions Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
1182,CLIR,ClearSign Technologies Corporation Common Stock,Technology,Industrial Machinery/Components
1183,CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,Finance,Finance/Investors Services
1184,CLMB,Climb Global Solutions Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
1186,CLNE,Clean Energy Fuels Corp. Common Stock,Utilities,Natural Gas Distribution
1187,CLNN,Clene Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1189,CLOE,Clover Leaf Capital Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
1192,CLOV,Clover Health Investments Corp. Class A Common Stock,Health Care,Medical Specialities
1193,CLPR,Clipper Realty Inc. Common Stock,Real Estate,Real Estate Investment Trusts
1194,CLPT,ClearPoint Neuro Inc. Common Stock,Health Care,Medical/Dental Instruments
1195,CLRB,Cellectar Biosciences Inc.  Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1196,CLRM,Clarim Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
1199,CLRO,ClearOne Inc. (DE) Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
1200,CLSD,Clearside Biomedical Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1201,CLSK,CleanSpark Inc. Common Stock,Technology,Computer Software: Prepackaged Software
1202,CLST,Catalyst Bancorp Inc. Common Stock,,
1203,CLVS,Clovis Oncology Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1204,CLW,Clearwater Paper Corporation Common Stock,Basic Materials,Paper
1205,CLX,Clorox Company (The) Common Stock,Consumer Discretionary,Specialty Chemicals
1206,CLXT,Calyxt Inc. Common Stock,Consumer Discretionary,Food Distributors
1207,CMA,Comerica Incorporated Common Stock,Finance,Major Banks
1208,CMAX,CareMax Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
1210,CMC,Commercial Metals Company Common Stock,Industrials,Steel/Iron Ore
1213,CMCO,Columbus McKinnon Corporation Common Stock,Industrials,Construction/Ag Equipment/Trucks
1214,CMCSA,Comcast Corporation Class A Common Stock,Consumer Discretionary,Telecommunications Equipment
1215,CMCT,Creative Media & Community Trust Corporation Common stock,Real Estate,Real Estate Investment Trusts
1217,CME,CME Group Inc. Class A Common Stock,Finance,Investment Bankers/Brokers/Service
1218,CMG,Chipotle Mexican Grill Inc. Common Stock,Consumer Discretionary,Restaurants
1219,CMI,Cummins Inc. Common Stock,Industrials,Construction/Ag Equipment/Trucks
1220,CMLS,Cumulus Media Inc. Class A Common Stock,Consumer Discretionary,Broadcasting
1221,CMP,Compass Minerals Intl Inc Common Stock,Basic Materials,Other Metals and Minerals
1222,CMPO,CompoSecure Inc. Class A Common Stock,Industrials,Metal Fabrications
1224,CMPX,Compass Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1225,CMRA,Comera Life Sciences Holdings Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
1227,CMRX,Chimerix Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1228,CMS,CMS Energy Corporation Common Stock,Utilities,Power Generation
1234,CMT,Core Molding Technologies Inc Common Stock,Consumer Discretionary,Electronic Components
1235,CMTL,Comtech Telecommunications Corp. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
1236,CMU,MFS Municipal Income Trust Common Stock,Finance,Investment Managers
1237,CNA,CNA Financial Corporation Common Stock,Finance,Property-Casualty Insurers
1238,CNC,Centene Corporation Common Stock,Health Care,Medical Specialities
1239,CNCE,Concert Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1240,CNDT,Conduent Incorporated Common Stock ,Technology,Retail: Computer Software & Peripheral Equipment
1241,CNFR,Conifer Holdings Inc. Common Stock,Finance,Property-Casualty Insurers
1243,CNGL,Canna-Global Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
1245,CNK,Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock,Consumer Discretionary,Movies/Entertainment
1246,CNMD,CONMED Corporation Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
1247,CNNB,Cincinnati Bancorp Inc. Common Stock,Finance,Commercial Banks
1248,CNO,CNO Financial Group Inc. Common Stock,Finance,Life Insurance
1250,CNOB,ConnectOne Bancorp Inc. Common Stock,Finance,Major Banks
1252,CNP,CenterPoint Energy Inc (Holding Co) Common Stock,Utilities,Electric Utilities: Central
1253,CNS,Cohen & Steers Inc Common Stock,Finance,Investment Managers
1254,CNSL,Consolidated Communications Holdings Inc. Common Stock,Telecommunications,Telecommunications Equipment
1255,CNSP,CNS Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1256,CNTX,Context Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1257,CNTY,Century Casinos Inc. Common Stock,Consumer Discretionary,Hotels/Resorts
1258,CNX,CNX Resources Corporation Common Stock,Energy,Oil & Gas Production
1259,CNXA,Connexa Sports Technologies Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
1260,CNXC,Concentrix Corporation Common Stock,Technology,Computer Software: Prepackaged Software
1261,CNXN,PC Connection Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
1262,COCO,The Vita Coco Company Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution)
1263,COCP,Cocrystal Pharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
1264,CODA,Coda Octopus Group Inc. Common stock,Industrials,Industrial Machinery/Components
1269,CODX,Co-Diagnostics Inc. Common Stock,Health Care,Medical Specialities
1270,COEP,Coeptis Therapeutics Holdings Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
1272,COF,Capital One Financial Corporation Common Stock,Finance,Finance Companies
1278,COFS,ChoiceOne Financial Services Inc. Common Stock,Finance,Major Banks
