...1,Symbol,Name,Sector,Sector_NDAQ,Industry,Industry_NDAQ,Description,Exchange,LatestQuarter,MarketCapitalization,BookValue,DividendYield,DividendPerShare,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY
121,AIMD,Ainos Inc,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Biotechnology: Pharmaceutical Preparations,"Ainos, Inc., a healthcare company, is dedicated to the development of medical technologies for safe and novel point-of-care testing and medical treatment for disease indications. The company is headquartered in San Diego, California.","NASDAQ",2022-09-30,15208800,1.87,0,0,-0.039,0.202,0,-3,-0.281,-0.497,2508000,410380,0,3.842
122,AIN,Albany International Corporation,MANUFACTURING,Consumer Discretionary,"BROADWOVEN FABRIC MILLS, MAN MADE FIBER & SILK",Textiles,"Albany International Corp. The company is headquartered in Rochester, New Hampshire.",NYSE,2022-09-30,3241864000,26.23,0.0085,0.84,3.34,31.8,0.106,0.185,0.0749,0.126,1006019000,378391000,-0.642,0.121
123,AINC,Ashford Inc,TRADE & SERVICES,Finance,SERVICES-MANAGEMENT CONSULTING SERVICES,Investment Managers,"Ashford, Inc is an asset management company.",NYSE MKT,2022-09-30,44560600,18.81,0,0,-10,93.48,0.0357,0.0967,0.0309,0.0386,268084000,72993000,0,0.407
124,AIP,Arteris Inc,MANUFACTURING,Technology,SEMICONDUCTORS & RELATED DEVICES,Semiconductors,NA,"NASDAQ",2022-09-30,154090000,1.211,0,0,-0.933,1.616,-0.552,-0.535,-0.212,-2.204,50609000,34133000,0,0.406
125,AIR,AAR Corp,MANUFACTURING,Industrials,AIRCRAFT & PARTS,Aerospace,"AAR Corp. The company is headquartered in Wood Dale, Illinois.",NYSE,2022-08-31,1683886000,30.02,0.007,0,2.49,50.95,0.0496,0.0706,0.051,0.0885,1811200000,313200000,0.983,-0.019
126,AIRG,Airgain Inc,MANUFACTURING,Technology,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,Radio And Television Broadcasting And Communications Equipment,NA,"NASDAQ",2022-09-30,80663000,4.109,0,0,-1.276,6.91,-0.144,-0.14,-0.096,-0.225,70150000,24607000,-0.999,0.242
127,AIRI,Air Industries Group,MANUFACTURING,Industrials,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC",Military/Government/Technical,"Air Industries Group, an aerospace and defense company, designs, manufactures and sells structural parts and assemblies for the major defense contractors in the United States aerospace industry. The company is headquartered in Bay Shore, New York.",NYSE MKT,2022-09-30,18188500,5.46,0,0,0.41,17,0.0261,0.0451,0.0285,0.0859,54768000,10253000,0,-0.075
128,AIRS,Airsculpt Technologies Inc,LIFE SCIENCES,Health Care,SERVICES-OFFICES & CLINICS OF DOCTORS OF MEDICINE,Hospital/Nursing Management,NA,"NASDAQ",2022-09-30,206153000,1.302,0,0,0.06,2.977,-0.131,-0.0581,-0.0312,-0.28,165646000,92079000,0,0.122
129,AIRT,Air T Inc,ENERGY & TRANSPORTATION,Consumer Discretionary,AIR COURIER SERVICES,Air Freight/Delivery Services,"Air T, Inc. provides overnight air cargo, ground equipment sales, commercial jet engines and parts, printing equipment, and maintenance services in the United States and internationally. The company is headquartered in Denver, North Carolina.","NASDAQ",2022-09-30,69177000,8.01,0,0,0.14,72.57,0.002,0.0462,0.0315,0.0546,208421000,40474000,-0.767,0.404
130,AIT,Applied Industrial Technologies,TRADE & SERVICES,Industrials,"WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES",Industrial Machinery/Components,"Applied Industrial Technologies, Inc. distributes industrial products in North America, Australia, New Zealand, and Singapore. The company is headquartered in Cleveland, Ohio.",NYSE,2022-09-30,5071061000,31.67,0.0105,1.35,7.19,103.47,0.0707,0.0977,0.102,0.256,3981400000,1106916000,0.449,0.191
131,AIV,Apartment Investment and Management Co,REAL ESTATE & CONSTRUCTION,Real Estate,REAL ESTATE INVESTMENT TRUSTS,Real Estate Investment Trusts,"Aimco is a Real Estate Investment Trust focused on property development, redevelopment, and various other value-creating investment strategies targeting the US multi-family market.",NYSE,2022-09-30,1250964000,5.14,0.0545,0,1.81,1.31,1,0.0223,0.0012,0.376,196069000,103196000,-0.632,0.112
132,AIZ,Assurant Inc,FINANCE,Finance,"INSURANCE CARRIERS, NEC",Specialty Insurers,"Assurant, Inc. is a global provider of risk management products and services with headquarters in New York City.",NYSE,2022-09-30,6762951000,60,0.0222,2.72,5.91,182.8,0.0336,0.0528,0.01,6.81,10115100000,1161700000,-0.991,-0.034
133,AJG,Arthur J Gallagher & Co,FINANCE,Finance,"INSURANCE AGENTS, BROKERS & SERVICE",Specialty Insurers,"Arthur J. Gallagher & Co. (AJG) is an American global insurance brokerage and risk management services firm headquartered in Rolling Meadows, Illinois.",NYSE,2022-09-30,42433660000,40.66,0.0104,2.01,5.09,39.38,0.132,0.209,0.0328,12.81,8247300000,2942300000,0.123,-0.05
134,AJRD,Aerojet Rocketdyne Holdings Inc,MANUFACTURING,Industrials,GUIDED MISSILES & SPACE VEHICLES & PARTS,Military/Government/Technical,"Aerojet Rocketdyne Holdings, Inc. designs, develops, manufactures and sells aerospace and defense products and systems in the United States. The company is headquartered in El Segundo, California.",NYSE,2022-09-30,4394670000,6.54,0,0,1.14,27.18,0.0441,0.103,0.0607,0.207,2179100000,387900000,-0.669,0.008
135,AJX,Great Ajax Corp,REAL ESTATE & CONSTRUCTION,Real Estate,REAL ESTATE INVESTMENT TRUSTS,Real Estate Investment Trusts,"Great Ajax Corp. The company is headquartered in Tigard, Oregon.",NYSE,2022-09-30,179249000,13.76,0.138,1.03,-0.715,2.234,0.0116,0.534,4e-4,-4.089,50885000,68280000,-0.5,-0.497
136,AKAM,Akamai Technologies Inc,TRADE & SERVICES,Consumer Discretionary,"SERVICES-BUSINESS SERVICES, NEC",Business Services,"Akamai Technologies, Inc. is a global content delivery network (CDN), cybersecurity, and cloud service company, providing web and Internet security services.","NASDAQ",2022-09-30,14747727000,26.81,0,0,3.1,22.43,0.141,0.21,0.0581,0.115,3594233000,2192267000,-0.37,0.025
137,AKBA,Akebia Ther,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Biotechnology: Pharmaceutical Preparations,"Akebia Therapeutics, Inc., a biopharmaceutical company, focuses on the development and commercialization of kidney therapies for patients with kidney disease. The company is headquartered in Cambridge, Massachusetts.","NASDAQ",2022-09-30,53367000,0.075,0,0,-1.599,1.646,-0.524,-0.356,-0.127,-2.062,297027000,-17922000,0,0.004
138,AKLI,Akili Inc,REAL ESTATE & CONSTRUCTION,Technology,BLANK CHECKS,Computer Software: Prepackaged Software,NA,"NASDAQ",2022-09-30,121538000,1.591,0,0,0,0.036,0,-3,-0.418,-0.104,373000,183000,0,-0.471
139,AKR,Acadia Realty Trust,REAL ESTATE & CONSTRUCTION,Real Estate,REAL ESTATE INVESTMENT TRUSTS,Real Estate Investment Trusts,Acadia Realty Trust is an equity real estate investment trust focused on delivering long-term profitable growth through its double?,NYSE,2022-09-30,1519926000,17.93,0.0474,0.69,0.34,3.018,-0.129,0.0145,6e-4,-0.0305,281570000,199647000,2.566,-0.592
141,AKTS,Akoustis Technologies Inc,MANUFACTURING,Utilities,TELEPHONE & TELEGRAPH APPARATUS,Telecommunications Equipment,"Akoustis Technologies, Inc., through its subsidiary, Akoustis, Inc., develops, designs, manufactures and sells radio frequency (RF) filter products for the wireless mobile device industry in the United States. The company is headquartered in Huntersville, North Carolina.","NASDAQ",2022-09-30,214936000,1.512,0,0,-1.008,0.344,0,-3,-0.309,-0.657,19048000,-4137000,0,1.98
142,AKU,Akumin Inc,LIFE SCIENCES,Health Care,SERVICES-MEDICAL LABORATORIES,Medical Specialities,"Akumin Inc. provides outpatient imaging services in the United States. The company is headquartered in Plantation, Florida.","NASDAQ",2022-09-30,95041000,1.182,0,0,-0.873,8.33,-0.197,0.0447,0.0111,-0.459,744439000,93557000,-0.677,0.725
143,AKYA,Akoya Biosciences Inc,LIFE SCIENCES,Industrials,LABORATORY ANALYTICAL INSTRUMENTS,Medical Specialities,"Akoya Biosciences, Inc., a life sciences technology company, offers space biology solutions focused on transforming discovery and clinical research. The company is headquartered in Marlborough, Massachusetts.","NASDAQ",2022-09-30,488492000,1.979,0,0,-1.439,1.857,-0.995,-0.929,-0.218,-0.654,69798000,34218000,0,0.399
144,AL,Air Lease Corporation,TRADE & SERVICES,Consumer Discretionary,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",Diversified Commercial Services,"Air Lease Corporation, an aircraft leasing company, is engaged in the purchase and leasing of new commercial jet aircraft to airlines around the world. The company is headquartered in Los Angeles, California.",NYSE,2022-09-30,4313703000,58.87,0.0213,0.74,-1.114,20.58,-0.0392,0.519,0.0272,-2.003,2312868000,1205827000,0.034,0.07
145,ALB,Albemarle Corp,LIFE SCIENCES,Industrials,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",Industrial Specialties,"Albemarle Corporation is a fine chemical manufacturing company based in Charlotte, North Carolina.",NYSE,2022-09-30,33304254000,57.47,0.0059,1.58,13.19,47.77,0.278,0.329,0.0933,0.259,5593330000,1008471000,-0.044,1.519
146,ALBO,Albireo Pharma Inc,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Biotechnology: Pharmaceutical Preparations,"Albireo Pharma, Inc., a biopharmaceutical company, is focused on the development and commercialization of new bile acid modulators to treat orphan pediatric liver diseases and other liver or gastrointestinal diseases and disorders. The company is headquartered in Boston, Massachusetts.","NASDAQ",2022-09-30,492277000,4.836,0,0,-1.697,2.946,-1,-2.147,-0.249,-0.931,57391000,39223000,0,1.683
147,ALBT,Avalon GloboCare Corp.,TRADE & SERVICES,Real Estate,SERVICES-MANAGEMENT CONSULTING SERVICES,Building operators,"Avalon GloboCare Corp. The company is headquartered in Freehold, New Jersey.","NASDAQ",2022-09-30,36994200,0.046,0,0,0,0.013,0,-3,-0.403,-3.685,1193900,354060,0,-0.347
148,ALCO,Alico Inc,LIFE SCIENCES,NA,AGRICULTURAL PRODUCTION-CROPS,NA,"Alico, Inc., is an agribusiness and land administration company in the United States. The company is headquartered in Fort Myers, Florida.","NASDAQ",2022-06-30,229052000,35.05,0.0639,2,4.31,12.58,0.343,-0.0344,-0.0046,0.124,94916000,23893000,-0.901,-0.257
150,ALEC,Alector Inc,LIFE SCIENCES,Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology: Pharmaceutical Preparations,"Alector, Inc., a clinical-stage biopharmaceutical company, develops therapies for the treatment of neurodegenerative diseases. The company is headquartered in South San Francisco, California.","NASDAQ",2022-09-30,752584000,3.06,0,0,0.6,1.621,-1,-1.037,-0.102,-0.464,133171000,17678000,0,-0.919
151,ALEX,Alexander & Baldwin Holdings Inc,REAL ESTATE & CONSTRUCTION,Real Estate,REAL ESTATE INVESTMENT TRUSTS,Real Estate Investment Trusts,"Alexander & Baldwin, Inc. (A&B) is Hawaii's leading commercial real estate company and the largest neighborhood grocery shopping center owner in the state.",NYSE,2022-09-30,1449433000,15.54,0.0452,0.79,0.38,5.72,0.0657,0.196,0.0267,0.026,415300000,142700000,-0.003,0.122
152,ALG,Alamo Group Inc,TECHNOLOGY,Industrials,FARM MACHINERY & EQUIPMENT,Industrial Machinery/Components,"Alamo Group Inc. designs, manufactures, distributes and services agricultural and infrastructure maintenance equipment for government and industrial use worldwide. The company is headquartered in Seguin, Texas.",NYSE,2022-09-30,1800917000,60,0.0049,0.68,7.71,123.38,0.0628,0.0913,0.0657,12.88,1464185000,334514000,0.469,0.09
153,ALGM,Allegro Microsystems Inc,MANUFACTURING,Technology,SEMICONDUCTORS & RELATED DEVICES,Semiconductors,"Allegro MicroSystems, Inc. designs, develops, manufactures and markets sensor integrated circuits (ICs) and analog power ICs for specific applications for motion control and energy efficient systems. The company is headquartered in Manchester, New Hampshire.","NASDAQ",2022-09-30,6026202000,4.259,0,0,0.59,4.424,0.142,0.171,0.101,0.162,842341000,411802000,0.529,0.228
154,ALGN,Align Technology Inc,LIFE SCIENCES,Health Care,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",Industrial Specialties,"Align Technology is a manufacturer of 3D digital scanners and the Invisalign clear aligners used in orthodontics. It is headquartered in San Jose, California.","NASDAQ",2022-09-30,15498282000,47.3,0,0,6.54,49.23,0.132,0.194,0.0812,0.142,3864219000,2935355000,-0.592,-0.124
155,ALGS,Aligos Therapeutics Inc,LIFE SCIENCES,Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology: Pharmaceutical Preparations,"Aligos Therapeutics, Inc., a clinical-stage biopharmaceutical company, is focused on developing novel therapies to address unmet medical needs in viral and liver diseases. The company is headquartered in South San Francisco, California.","NASDAQ",2022-09-30,41103000,2.85,0,0,-3.314,0.253,0,-3,-0.33,-0.66,10737000,-99794000,0,1.671
156,ALGT,Allegiant Travel Company,ENERGY & TRANSPORTATION,Consumer Discretionary,"AIR TRANSPORTATION, SCHEDULED",Air Freight/Delivery Services,"Allegiant Travel Company, a leisure travel company, provides travel products and services to residents of underserved cities in the United States. The company is headquartered in Las Vegas, Nevada.","NASDAQ",2022-09-30,1506845000,60,0.0375,0,2.44,121.87,-0.018,0.0362,0.0121,-0.033,2187164000,370471000,-0.956,0.22
157,ALHC,Alignment Healthcare LLC,FINANCE,Health Care,HOSPITAL & MEDICAL SERVICE PLANS,Medical Specialities,"Alignment Healthcare, Inc. provides a consumer-centric platform that provides personalized healthcare to seniors in the United States. The company is headquartered in Orange, California.","NASDAQ",2022-09-30,2415667000,1.453,0,0,-1.007,7.61,-0.102,-0.0876,-0.105,-0.47,1370622000,128732000,0,0.228
158,ALIM,Alimera Sciences Inc,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Biotechnology: Pharmaceutical Preparations,"Alimera Sciences, Inc., a pharmaceutical company, is engaged in the development and marketing of prescription ophthalmic pharmaceutical products in the United States and internationally. The company is headquartered in Alpharetta, Georgia.","NASDAQ",2022-09-30,25090400,0,0,0,-0.967,7.74,-0.341,-0.227,-0.148,0,54059000,51999000,0,0.119
159,ALK,Alaska Air Group Inc,ENERGY & TRANSPORTATION,Consumer Discretionary,"AIR TRANSPORTATION, SCHEDULED",Air Freight/Delivery Services,"Alaska Air Group is an airline holding company based in SeaTac, Washington, United States.",NYSE,2022-09-30,5923335000,30.16,0.0534,0,0.42,71.81,0.006,0.0752,0.03,0.0147,9066000000,939000000,-0.797,0.448
160,ALKT,Alkami Technology Inc,TECHNOLOGY,Technology,SERVICES-PREPACKAGED SOFTWARE,EDP Services,"Alkami Technology, Inc. offers a cloud-based digital banking platform to serve banks and credit unions in the United States. The company is headquartered in Plano, Texas.","NASDAQ",2022-09-30,1182811000,3.584,0,0,-0.576,2.117,-0.351,-0.336,-0.0867,-0.199,191167000,83807000,0,0.343
161,ALL,Allstate Corp,FINANCE,Finance,"FIRE, MARINE & CASUALTY INSURANCE",Property-Casualty Insurers,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",NYSE,2022-09-30,34702670000,59.03,0.0256,3.36,-1.493,183.74,-0.0041,0.0072,0.002,0.0247,50775998000,13969000000,-0.676,0.058
163,ALLO,Allogene Therapeutics Inc,LIFE SCIENCES,Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology: Biological Products (No Diagnostic Substances),"Allogene Therapeutics, Inc., a clinical-stage immuno-oncology company, develops and markets genetically engineered allogeneic T-cell therapies for the treatment of cancer. The company is headquartered in South San Francisco, California.","NASDAQ",2022-09-30,1364227000,5.14,0,0,-2.2,0.002,0,-3,-0.199,-0.366,247000,-181687000,0,0
165,ALLY,Ally Financial Inc,FINANCE,Finance,STATE COMMERCIAL BANKS,Diversified Financial Services,"Ally Financial Inc., a banking holding company, offers a variety of digital financial products and services to consumers, business and corporate clients primarily in the United States and Canada. The company is headquartered in Detroit, Michigan.",NYSE,2022-09-30,7800660000,33.66,0.0453,1.15,6,24.94,0.255,0.343,0.0114,0.141,8177000000,8671000000,-0.536,-0.135
166,ALNY,Alnylam Pharmaceuticals Inc,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Biotechnology: Pharmaceutical Preparations,"Alnylam Pharmaceuticals, Inc., a biopharmaceutical company, focuses on discovering, developing and commercializing RNA interference (RNAi) therapies. The company is headquartered in Cambridge, Massachusetts.","NASDAQ",2022-09-30,28837763000,1.455,0,0,-7.49,7.95,-1,-0.823,-0.141,-3.435,960918000,704143000,0,0.409
167,ALOT,AstroNova Inc,TECHNOLOGY,Technology,"COMPUTER PERIPHERAL EQUIPMENT, NEC",Computer peripheral equipment,"AstroNova, Inc. designs, develops, manufactures, and distributes specialty printers and data acquisition and analysis systems in the United States, Europe, Asia, Canada, Central and South America, and internationally.","NASDAQ",2022-07-31,85737000,11.08,0.0438,0,0.83,16.78,-0.0014,-0.0085,-0.0056,-0.0021,121826000,42039000,-0.917,0.081
169,ALPN,Alpine Immune Sciences Inc,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Biotechnology: Pharmaceutical Preparations,"Alpine Immune Sciences, Inc., a clinical-stage biopharmaceutical company, focuses on the discovery and development of protein-based immunotherapies for the treatment of cancer, autoimmune / inflammatory disorders, and other diseases. The company is headquartered in Seattle, Washington.","NASDAQ",2022-09-30,298444000,4.136,0,0,-1.748,1.026,-1,-1.671,-0.127,-0.355,31818000,-35299000,0,-0.017
170,ALPP,Alpine 4 Holdings Inc,REAL ESTATE & CONSTRUCTION,Industrials,BLANK CHECKS,Consumer Electronics/Appliances,"Alpine 4 Holdings, Inc., a technology holding company, offers electronic contract manufacturing solutions in the United States. The company is headquartered in Phoenix, Arizona.","NASDAQ",2022-06-30,119685000,0.384,0,0,-0.102,0.453,-0.154,-0.252,-0.11,-0.21,79964000,7698000,0,0.788
171,ALR,Alerislife Inc,LIFE SCIENCES,Health Care,SERVICES-SKILLED NURSING CARE FACILITIES,Hospital/Nursing Management,NA,"NASDAQ",2022-09-30,25278500,4.733,0,0,-1.359,5.02,-0.237,-0.187,-0.0497,-0.218,159695000,84270000,0,-0.032
172,ALRM,Alarm.com Holdings Inc,TECHNOLOGY,Technology,SERVICES-PREPACKAGED SOFTWARE,Computer Software: Prepackaged Software,"Alarm.com Holdings, Inc. offers cloud-based solutions for smart residential and commercial properties in the United States and internationally. The company is headquartered in Tysons, Virginia.","NASDAQ",2022-09-30,2504524000,11.91,0,0,0.89,16.59,0.0571,0.0716,0.0298,0.0762,829710000,443070000,0.327,0.124
174,ALRS,Alerus Financial Corp,FINANCE,Finance,"NATIONAL COMMERCIAL BANKS",Commercial Banks,"Alerus Financial Corporation, through its subsidiary, Alerus Financial, National Association, provides various financial services to businesses and consumers. The company is headquartered in Grand Forks, North Dakota.","NASDAQ",2022-09-30,463506000,17.25,0.0308,0.68,2.27,12.06,0.193,0.272,0.0122,0.12,216478000,237986000,-0.365,-0.065
175,ALSN,Allison Transmission Holdings Inc,MANUFACTURING,Consumer Discretionary,MOTOR VEHICLE PARTS & ACCESSORIES,Auto Parts:O.E.M.,"Allison Transmission Holdings, Inc. designs, manufactures and sells fully automatic commercial and defense transmissions for medium and heavy duty commercial vehicles, and medium and heavy duty US defense vehicles globally. The company is headquartered in Indianapolis, Indiana.",NYSE,2022-09-30,4147271000,8.15,0.0188,0.82,5.2,27.5,0.189,0.288,0.106,0.692,2695000000,1145000000,0.635,0.252
176,ALT,Altimmune Inc,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Biotechnology: Pharmaceutical Preparations,"Altimmune, Inc., a clinical-stage biopharmaceutical company, focuses on the development of intranasal vaccines, immunomodulatory therapies, and treatments for liver disease. The company is headquartered in Gaithersburg, Maryland.","NASDAQ",2022-09-30,554515000,4.172,0,0,-2.389,0.074,0,-3,-0.233,-0.42,3319400,-71086741,0,-0.987
177,ALTO,Alto Ingredients Inc,LIFE SCIENCES,Industrials,INDUSTRIAL ORGANIC CHEMICALS,Industrial Specialties,"Alto Ingredients, Inc. produces and markets specialty alcohols and essential ingredients in the United States. The company is headquartered in Sacramento, California.","NASDAQ",2022-09-30,255891000,4.53,0,0,0.36,19.42,0.0198,0.0037,0.0068,0.0863,1392676000,67784000,1.636,0.103
178,ALTR,Altair Engineering Inc,TECHNOLOGY,Technology,SERVICES-PREPACKAGED SOFTWARE,Computer Software: Prepackaged Software,"Altair Engineering Inc. provides software and cloud solutions in the areas of simulation, high-performance computing, data analysis, and artificial intelligence globally. The company is headquartered in Troy, Michigan.","NASDAQ",2022-09-30,4259677000,6.68,0,0,-0.156,6.98,-0.103,-0.0169,-0.0055,-0.1,552585000,403538000,-0.278,-0.016
181,ALX,Alexanders Inc,REAL ESTATE & CONSTRUCTION,Real Estate,REAL ESTATE INVESTMENT TRUSTS,Real Estate Investment Trusts,NA,NYSE,2022-09-30,1227384000,48.63,0.0736,18,20,39.49,0.604,0.384,0.0343,0.541,202425000,115059000,0.327,0.098
184,AM,Antero Midstream Partners LP,ENERGY & TRANSPORTATION,Utilities,"NATURAL GAS TRANSMISSION",Natural Gas Distribution,"Antero Midstream Corporation owns, operates and develops midstream energy infrastructure. The company is headquartered in Denver, Colorado.",NYSE,2022-09-30,5421230000,4.623,0.0812,0.9,0.669,2.02,0.334,0.548,0.0596,14.21,965594000,811754000,-0.09,0.026
185,AMAL,Amalgamated Bank,FINANCE,Finance,STATE COMMERCIAL BANKS,Commercial Banks,"Amalgamated Finance Corporation The company is headquartered in New York, New York.","NASDAQ",2022-09-30,822018000,15.9,0.0151,0.34,2.34,7.7,0.306,0.415,0.0099,0.139,237471000,202980000,0.609,0.285
187,AMAT,Applied Materials Inc,MANUFACTURING,Technology,SEMICONDUCTORS & RELATED DEVICES,Semiconductors,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.","NASDAQ",2022-10-31,91803574000,14.28,0.0101,1.02,7.44,29.6,0.253,0.302,0.185,0.534,25785000000,11993000000,-0.019,0.102
188,AMBC,Ambac Financial Group Inc,FINANCE,Finance,SURETY INSURANCE,Property-Casualty Insurers,"Ambac Financial Group, Inc., a financial services holding company, offers financial guarantees in the United States, the United Kingdom, Italy, Austria, Australia, France and internationally. The company is headquartered in New York, New York.",NYSE,2022-09-30,735729000,22.44,0,0,7.41,4.474,1,1,0.022,0.292,206000000,310000000,10,0.362
189,AMCX,AMC Networks Inc,TECHNOLOGY,Consumer Discretionary,CABLE & OTHER PAY TELEVISION SERVICES,Movies/Entertainment,"AMC Networks Inc., an entertainment company, owns and operates a suite of video entertainment products that are delivered to the public and a platform to distributors and advertisers in the United States and internationally. The company is headquartered in New York, New York.","NASDAQ",2022-09-30,826505000,23.33,0,0,6.16,68.38,0.0985,0.19,0.0615,0.251,2935734000,1658325000,-0.239,-0.159
190,AMD,Advanced Micro Devices Inc,MANUFACTURING,Technology,SEMICONDUCTORS & RELATED DEVICES,Semiconductors,"Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Santa Clara, California, that develops computer processors and related technologies for business and consumer markets. AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations, personal computers and embedded system applications.","NASDAQ",2022-09-30,120894751000,33.84,0,0,1.67,15.65,0.0996,0.131,0.0473,0.0737,22827999000,7929000000,-0.947,0.29
191,AMED,Amedisys Inc,LIFE SCIENCES,Health Care,SERVICES-HOME HEALTH CARE SERVICES,Medical/Nursing Services,"Amedisys, Inc., provides healthcare services in the United States. The company is headquartered in Baton Rouge, Louisiana.","NASDAQ",2022-09-30,2973018000,31.27,0,0,3.63,68.24,0.0545,0.0926,0.0656,0.119,2220452000,993756000,-0.424,0.008
192,AMEH,Apollo Medical Holdings Inc,REAL ESTATE & CONSTRUCTION,Health Care,BLANK CHECKS,Managed Health Care,"Apollo Medical Holdings, Inc., a physician-centric technology-driven healthcare management company, provides healthcare services. The company is headquartered in Alhambra, California.","NASDAQ",2022-09-30,1293555000,11.37,0,0,1.41,23.37,0.0626,0.0925,0.0666,0.0567,1045055000,177773000,-0.243,0.396
193,AMG,Affiliated Managers Group Inc,FINANCE,Finance,INVESTMENT ADVICE,Investment Managers,"Affiliated Managers Group, Inc., through its affiliates, is an asset management company providing investment management services to mutual funds, institutional clients and high net worth individuals in the United States. The company is headquartered in Prides Crossing, Massachusetts.",NYSE,2022-09-30,6120394000,60,3e-4,0.04,12.93,63.23,0.22,0.369,0.0692,0.208,2481700000,1365300000,-0.067,0.006
194,AMGN,Amgen Inc,LIFE SCIENCES,Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology: Pharmaceutical Preparations,"Amgen Inc. (formerly Applied Molecular Genetics Inc.) is an American multinational biopharmaceutical company headquartered in Thousand Oaks, California. Focused on molecular biology and biochemistry, its goal is to provide a healthcare business based on recombinant DNA technology.","NASDAQ",2022-09-30,152342151000,6.85,0.0275,7.58,12.65,48.29,0.26,0.388,0.0993,1.152,26329999000,19525000000,0.202,-0.008
195,AMK,AssetMark Financial Holdings Inc,FINANCE,Finance,INVESTMENT ADVICE,Finance/Investors Services,"AssetMark Financial Holdings, Inc. provides technology and wealth management solutions in the United States.",NYSE,2022-09-30,1830670000,14.86,0,0,1.24,8.12,0.151,0.218,0.0575,0.0862,597757000,188346000,1.427,0.107
196,AMKR,Amkor Technology Inc,MANUFACTURING,Technology,SEMICONDUCTORS & RELATED DEVICES,Semiconductors,"Amkor Technology, Inc. provides outsourced semiconductor packaging and testing services in the United States, Japan, Europe, the Middle East, Africa, and the rest of Asia Pacific. The company is headquartered in Tempe, Arizona.","NASDAQ",2022-09-30,6812755000,14.24,0.0111,0.2,3.35,28.26,0.118,0.134,0.0931,0.261,6910019000,1225554000,0.676,0.24
197,AMLX,Amylyx Pharmaceuticals Inc,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Biotechnology: Pharmaceutical Preparations,NA,"NASDAQ",2022-09-30,2599231000,2.461,0,0,-6.76,0.008,0,-3,-0.742,-1.419,345000,-43755000,0,0.211
198,AMNB,American National Bankshares Inc,FINANCE,Finance,"NATIONAL COMMERCIAL BANKS",Major Banks,"American National Bankshares Inc. is the banking holding company for American National Bank and Trust Company offering financial products and services in Virginia and North Carolina. The company is headquartered in Danville, Virginia.","NASDAQ",2022-09-30,408834000,29.54,0.0322,1.12,3.51,10.32,0.341,0.453,0.0119,0.114,110612000,114247000,-0.074,0.015
199,AMP,Ameriprise Financial Inc,FINANCE,Finance,INVESTMENT ADVICE,Investment Managers,"Ameriprise Financial, Inc. is a diversified financial services company and bank holding company incorporated in Delaware and headquartered in Minneapolis, Minnesota. It provides financial planning products and services, including wealth management, asset management, insurance, annuities, and estate planning.",NYSE,2022-09-30,35136766000,30.53,0.0153,4.76,20,128.06,0.192,0.296,0.0165,0.617,14436000000,7588000000,-0.438,0.206
200,AMPG,Amplitech Group Inc,MANUFACTURING,Technology,"COMMUNICATIONS EQUIPMENT, NEC",Industrial Machinery/Components,"Amplitech Group, Inc. designs, designs and assembles amplifiers based on microwave components. The company is headquartered in Bohemia, New York.","NASDAQ",2022-09-30,21383300,3.072,0,0,-0.391,1.758,-0.146,-0.153,-0.0493,-0.0865,17840700,1292600,-0.966,4.144
